Result;Category;Location;Object type;Object name;Object full code;Author of last change in LM;Date of last change in LM;Element;Element value;Result code;Validation name;Description of the result of validation
Error;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";"ApplicationRoleObjectBinds.ApplicationRoleObjectBind.Object";"FULL CODE: \SS_CONTROL_ENERGY\AFRR\AFRR_BID_ENTITY\CALCULATE_BANDS_TEST~ALGORITHM_SET, TYPE: TSGROUP, SOID: CA5FF031CE36A78411293724D7B2774F";VA0856;"Validation of binding between the application role and the business role.";"Wrong object identification. Referred object 'FULL CODE: \SS_CONTROL_ENERGY\AFRR\AFRR_BID_ENTITY\CALCULATE_BANDS_TEST~ALGORITHM_SET, TYPE: TSGROUP, SOID: CA5FF031CE36A78411293724D7B2774F' cannot be found."
Error;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";"ApplicationRoleObjectBinds.ApplicationRoleObjectBind.Object";"FULL CODE: \SS_STANDING_DATA\TYPES\BUSINESS_TYPE\BUSINESS_TYPE_INTERNATIONAL_ASSISTANCE~TIMESERIES_SET, TYPE: TSGROUP, SOID: 5B1B07B9F9A9FA41A268757877B5AEB5";VA0856;"Validation of binding between the application role and the business role.";"Wrong object identification. Referred object 'FULL CODE: \SS_STANDING_DATA\TYPES\BUSINESS_TYPE\BUSINESS_TYPE_INTERNATIONAL_ASSISTANCE~TIMESERIES_SET, TYPE: TSGROUP, SOID: 5B1B07B9F9A9FA41A268757877B5AEB5' cannot be found."
Error;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";"ApplicationRoleObjectBinds.ApplicationRoleObjectBind.Object";"FULL CODE: \SS_INPUT_DATA\ACTIVATION\ACTIVATION\TSO_SM_RIR_START_UP_PRICE_PARTY_DIM~TIMESERIES_SET, TYPE: TSGROUP, SOID: 15A958AD978239886FF3F0044E799CB3";VA0856;"Validation of binding between the application role and the business role.";"Wrong object identification. Referred object 'FULL CODE: \SS_INPUT_DATA\ACTIVATION\ACTIVATION\TSO_SM_RIR_START_UP_PRICE_PARTY_DIM~TIMESERIES_SET, TYPE: TSGROUP, SOID: 15A958AD978239886FF3F0044E799CB3' cannot be found."
Error;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";"ApplicationRoleObjectBinds.ApplicationRoleObjectBind.Object";"FULL CODE: \SS_INPUT_DATA\ACTIVATION\ACTIVATION\TSO_SM_RIR_START_UP_PRICE_PARTY_DIM, TYPE: TIMESERIES, SOID: C0CA7F0FEE224FEC6F42C12F4628A434";VA0856;"Validation of binding between the application role and the business role.";"Wrong object identification. Referred object 'FULL CODE: \SS_INPUT_DATA\ACTIVATION\ACTIVATION\TSO_SM_RIR_START_UP_PRICE_PARTY_DIM, TYPE: TIMESERIES, SOID: C0CA7F0FEE224FEC6F42C12F4628A434' cannot be found."
Error;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";"ApplicationRoleObjectBinds.ApplicationRoleObjectBind.Object";"FULL CODE: \SS_INPUT_DATA\ACTIVATION\ACTIVATION\TR, TYPE: TIMESERIES, SOID: 6A5462DBCAA239386269AA28BBB65729";VA0856;"Validation of binding between the application role and the business role.";"Wrong object identification. Referred object 'FULL CODE: \SS_INPUT_DATA\ACTIVATION\ACTIVATION\TR, TYPE: TIMESERIES, SOID: 6A5462DBCAA239386269AA28BBB65729' cannot be found."
Error;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";"ApplicationRoleObjectBinds.ApplicationRoleObjectBind.Object";"FULL CODE: \SS_INPUT_DATA\ACTIVATION\ACTIVATION\TR, TYPE: TIMESERIES, SOID: 6A5462DBCAA239386269AA28BBB65729";VA0856;"Validation of binding between the application role and the business role.";"Wrong object identification. Referred object 'FULL CODE: \SS_INPUT_DATA\ACTIVATION\ACTIVATION\TR, TYPE: TIMESERIES, SOID: 6A5462DBCAA239386269AA28BBB65729' cannot be found."
Error;Error;;;;;;;"Permissions.ApplicationRoleBusinessRoleBinds.ApplicationRoleBusinessRoleBind";;111;"Validation of completeness of entered bonds between application roles, business roles and the object";"The validation was not finished due to system crash. This situation may also occur if there are different validations dependent on each other and the metadata transfer cannot resolve these dependencies. It is recommended to fix the remaining errors listed in the stacktrace before proceeding with the dependency analysis because this fix might also resolve the validation dependency error and it would be possible to continue in the metadata transfer. The reported error needs to be forwarded to the service team so that they check the relevance of the error message."
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V102;"Validate Basic Outer Object Properties.";
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V114;"Validation of basic object properties, uniqueness checks";
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V924;Validation of the existence of a business object of an overlapped event;
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V110;"Validation of bound objects to the application and business role.";
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V912;Validation of the basic external properties of parameters of overlapped events;
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V910;"Validation of links to the state of the entity.";
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V909;"Validation of the presence of the linked overlapped events.";
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;VA08;"Validation of binding between the application role and the business role.";
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;VA06;Validation of bonds between subordinate business roles and their group business roles;
OK;Error;VA;Business role;MER-Reader;"\SS_SYS\SS_SYS_PERMISSIONS\BUS_UC_BASIC";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V108;Validation of object classification in hierarchy;
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V102;"Validate Basic Outer Object Properties.";
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V108;Validation of object classification in hierarchy;
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;VA06;Validation of bonds between subordinate business roles and their group business roles;
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V909;"Validation of the presence of the linked overlapped events.";
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V910;"Validation of links to the state of the entity.";
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V912;Validation of the basic external properties of parameters of overlapped events;
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V110;"Validation of bound objects to the application and business role.";
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V924;Validation of the existence of a business object of an overlapped event;
OK;Error;VA;Business role;MER-Operator;"\SS_SYS\SS_SYS_PERMISSIONS\MER_OPERATOR";Pavel Stríteský AD;"11/15/2024 3:30:01 PM";;;V114;"Validation of basic object properties, uniqueness checks";
